m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
128,2048,7168,8.24052,456.051,962.301,2062,382,cublaslt_nvfp4_nvfp4
128,24576,1536,5.03467,1919.43,4080.81,2062,676,cublaslt_nvfp4_nvfp4
512,2048,7168,8.657,1736.44,1120.4,2062,582,cublaslt_nvfp4_nvfp4
512,7168,2048,4.97143,3023.76,1951.01,2062,770,cublaslt_nvfp4_nvfp4
1024,1024,1024,2.57167,835.055,611.613,2062,429,cublaslt_nvfp4_nvfp4
1024,2048,8192,10.117,3396.24,1347.38,2062,892,cublaslt_nvfp4_nvfp4
1024,4096,4096,7.616,4511.52,1652.17,2062,1080,cublaslt_nvfp4_nvfp4
1024,4096,16384,24.9518,5508.18,1765.01,2032,1168,cublaslt_nvfp4_nvfp4
1024,7168,2048,7.0573,4260.15,1708.67,2055,1173,cublaslt_nvfp4_nvfp4
1024,8192,2048,11.4382,3003.96,1191.75,2062,885,cublaslt_nvfp4_nvfp4
1024,8192,8192,24.926,5513.88,1682.7,1995,1162,cublaslt_nvfp4_nvfp4
1024,11008,4096,19.3137,4781.15,1567.67,2062,1111,cublaslt_nvfp4_nvfp4
1024,16384,4096,25.652,5357.83,1716.83,1965,1151,cublaslt_nvfp4_nvfp4
1536,1536,1536,3.0604,2368.24,1156.37,2062,741,cublaslt_nvfp4_nvfp4
2048,2048,2048,5.34667,3213.19,1176.71,2062,867,cublaslt_nvfp4_nvfp4
2048,2048,8192,15.824,4342.74,1192.77,2062,990,cublaslt_nvfp4_nvfp4
2048,4096,4096,15.7102,4374.19,1067.92,2062,1124,cublaslt_nvfp4_nvfp4
2048,4096,16384,46.8545,5866.63,1163.73,1800,1153,cublaslt_nvfp4_nvfp4
2048,8192,2048,15.4022,4462.3,1225.43,2055,1160,cublaslt_nvfp4_nvfp4
2048,8192,8192,47.2142,5822.02,1066.03,1747,1146,cublaslt_nvfp4_nvfp4
2048,11008,4096,33.016,5593.77,1151.29,1747,1146,cublaslt_nvfp4_nvfp4
2048,16384,4096,47.3089,5810.29,1152.55,1627,1149,cublaslt_nvfp4_nvfp4
3072,3072,3072,13.1747,4401.03,1074.47,2062,1055,cublaslt_nvfp4_nvfp4
4096,2048,8192,26.7619,5136,1097.09,1987,1150,cublaslt_nvfp4_nvfp4
4096,4096,4096,25.7401,5339.51,977.691,1965,1149,cublaslt_nvfp4_nvfp4
