m,n,k,ref_us,my_us,us_ratio,ref_tflops,my_tflops,tflops_ratio,ref_sm,my_sm,ref_pw,my_pw
128,2048,7168,7.40,8.0992,1.094,508.1,464.008,0.913,2062,2062,220.1,204
128,24576,1536,5.08,5.472,1.077,1901.8,1766.02,0.929,2062,2062,279.2,216
512,2048,7168,6.58,6.4704,0.983,2284.8,2323.25,1.017,2062,2062,338.7,235
512,7168,2048,5.32,5.6704,1.066,2824.5,2651.03,0.939,2062,2062,393.0,255
1024,1024,1024,2.87,2.9824,1.039,749.3,720.052,0.961,2062,2062,423.6,255
1024,2048,8192,7.37,7.4176,1.006,4662.6,4632.19,0.993,2062,2062,431.6,278
1024,4096,4096,7.17,7.6736,1.070,4792.6,4477.66,0.934,2062,2062,485.1,312
1024,4096,16384,19.88,20.6848,1.040,6913.0,6644.44,0.961,2062,2062,571.0,340
1024,7168,2048,7.79,7.9168,1.016,3861.2,3797.59,0.984,2062,2062,641.4,376
1024,8192,2048,8.15,8.3808,1.028,4216.2,4099.82,0.972,2062,2062,643.4,405
1024,8192,8192,20.47,20.8736,1.020,6713.8,6584.34,0.981,2062,2062,623.6,419
1024,11008,4096,18.01,16.5536,0.919,5126.2,5578.35,1.088,2062,2062,552.6,421
1024,16384,4096,22.55,22.6688,1.005,6095.1,6062.91,0.995,2062,2062,574.5,412
1536,1536,1536,3.28,3.5232,1.074,2212.9,2057.15,0.930,2062,2062,613.6,412
2048,2048,2048,5.12,5.4368,1.062,3357.1,3159.92,0.941,2062,2062,612.9,455
2048,2048,8192,11.46,12.4992,1.091,5998.9,5497.91,0.916,2062,2062,561.5,449
2048,4096,4096,12.11,12.4864,1.031,5674.8,5503.55,0.970,2062,2062,565.0,414
2048,4096,16384,38.40,38.6144,1.006,7158.4,7118.53,0.994,2062,2062,659.9,406
2048,8192,2048,14.36,13.5456,0.943,4786.5,5073.2,1.060,2062,2062,686.6,419
2048,8192,8192,40.14,40.9536,1.020,6847.2,6711.94,0.980,2062,2062,710.5,391
2048,11008,4096,27.69,28.032,1.012,6670.0,6588.31,0.988,2062,2062,703.6,384
2048,16384,4096,45.39,40.0768,0.883,6055.9,6858.78,1.133,2062,2062,750.2,393
3072,3072,3072,10.19,10.6752,1.048,5688.2,5431.47,0.955,2062,2062,736.2,444
4096,2048,8192,20.48,20.9984,1.025,6711.2,6545.21,0.975,2062,2062,705.2,403
4096,4096,4096,21.95,21.616,0.985,6261.6,6358.2,1.015,2062,2062,671.5,442
4096,4096,7168,34.70,35.6256,1.027,6931.6,6751.27,0.974,2062,2062,672.8,427
4096,4096,16384,76.72,77.9392,1.016,7165.9,7053.65,0.984,2062,2062,587.8,426
4096,8192,2048,26.39,22.3968,0.849,5207.2,6136.54,1.178,2062,2062,625.2,390
4096,8192,8192,74.38,71.2096,0.957,7390.9,7720.25,1.045,2062,2062,766.1,390
4096,11008,4096,59.11,54.5472,0.923,6248.5,6771.51,1.084,2062,2062,773.2,386
4096,16384,4096,82.01,76.0064,0.927,6703.8,7233.02,1.079,2062,2062,786.5,389
5120,5120,5120,39.51,38.3552,0.971,6794.2,6998.67,1.030,2062,2062,780.2,402
6144,6144,6144,66.36,62.0192,0.935,6990.4,7479.24,1.070,2062,2062,782.3,369
8192,2048,8192,39.95,40.32,1.009,6881.2,6817.41,0.991,2062,2062,781.1,370
8192,4096,4096,43.63,39.3568,0.902,6300.3,6984.25,1.109,2062,2062,792.9,398
8192,4096,16384,139.73,133.578,0.956,7868.6,8231.26,1.046,2062,2062,797.7,373
8192,8192,2048,53.47,46.8896,0.877,5140.8,5862.24,1.140,2062,2062,821.2,378
8192,8192,8192,145.71,139.59,0.958,7546.1,7876.7,1.044,2062,2062,821.0,330
8192,11008,4096,105.90,101.206,0.956,6975.6,7299.29,1.046,2062,2062,494.6,337
8192,16384,4096,149.08,143.866,0.965,7375.1,7642.63,1.036,2062,2062,610.7,342
12288,12288,12288,449.30,453.206,1.009,8259.3,8188,0.991,2062,2062,854.2,288
16384,2048,8192,76.63,71.4432,0.932,7174.4,7695.01,1.073,2062,2062,868.0,335
16384,4096,4096,81.95,77.7792,0.949,6708.6,7068.16,1.054,2062,2062,872.1,397
16384,4096,16384,271.82,263.613,0.970,8089.9,8341.87,1.031,2062,2062,868.2,278
16384,8192,2048,99.59,92.1632,0.925,5520.3,5965.03,1.081,2062,2062,858.3,290
16384,8192,8192,275.36,264.88,0.962,7986.0,8301.96,1.040,2062,2062,844.3,277
16384,11008,4096,207.37,192.262,0.927,7125.0,7684.65,1.079,2062,2062,842.9,290
16384,16384,4096,303.75,286.518,0.943,7239.5,7674.98,1.060,2062,2062,884.1,291
16384,16384,16384,1037.46,1030.46,0.993,8478.5,8536.08,1.007,2062,2062,893.6,266
