m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
128,2048,7168,7.40544,507.478,1123.91,0,0,cublaslt_nvfp4
128,24576,1536,4.9328,1959.07,5121.66,0,0,cublaslt_nvfp4
512,2048,7168,6.03552,2490.65,1867.64,2062,205,cublaslt_nvfp4
512,7168,2048,5.08768,2954.66,2988.46,0,0,cublaslt_nvfp4
1024,1024,1024,2.5632,837.814,1227.27,0,0,cublaslt_nvfp4
1024,2048,8192,6.84352,5020.77,2451.55,0,0,cublaslt_nvfp4
1024,4096,4096,7.05184,4872.45,2676.52,2062,219,cublaslt_nvfp4
1024,4096,16384,19.929,6896.44,2525.55,2062,225,cublaslt_nvfp4
1024,7168,2048,7.04864,4265.33,3272.78,0,0,cublaslt_nvfp4
1024,8192,2048,7.39968,4643.41,3542.64,0,0,cublaslt_nvfp4
1024,8192,8192,20.1779,6811.35,2702.26,2062,231,cublaslt_nvfp4
1024,11008,4096,15.7891,5848.44,2988.51,2062,235,cublaslt_nvfp4
1024,16384,4096,21.7869,6308.34,3176.5,2062,237,cublaslt_nvfp4
1536,1536,1536,2.96672,2443.02,2385.76,0,0,cublaslt_nvfp4
2048,2048,2048,4.91328,3496.62,2561,0,0,cublaslt_nvfp4
2048,2048,8192,11.3498,6054.71,2217.3,2062,240,cublaslt_nvfp4
2048,4096,4096,11.601,5923.6,2530.84,2062,243,cublaslt_nvfp4
2048,4096,16384,38.0253,7228.82,1764.85,2062,240,cublaslt_nvfp4
2048,8192,2048,12.7936,5371.39,3442.36,2062,250,cublaslt_nvfp4
2048,8192,8192,39.871,6894.17,1893.54,2062,248,cublaslt_nvfp4
2048,11008,4096,26.7949,6892.5,2680.64,2062,251,cublaslt_nvfp4
2048,16384,4096,38.9686,7053.82,2690.82,2062,254,cublaslt_nvfp4
3072,3072,3072,9.67488,5993.05,2926.29,2062,261,cublaslt_nvfp4
4096,2048,8192,20.1792,6810.92,2078.53,2062,261,cublaslt_nvfp4
4096,4096,4096,21.1347,6502.99,2381.47,2062,256,cublaslt_nvfp4
4096,4096,7168,34.4669,6978.24,1825.36,2062,258,cublaslt_nvfp4
4096,4096,16384,77.1242,7128.19,1305.21,2062,250,cublaslt_nvfp4
4096,8192,2048,21.4979,6393.13,3706.95,2062,266,cublaslt_nvfp4
4096,8192,8192,69.3107,7931.76,1694.41,2062,254,cublaslt_nvfp4
4096,11008,4096,53.2218,6940.15,2275.58,2062,268,cublaslt_nvfp4
4096,16384,4096,74.3683,7392.34,2368.76,2062,279,cublaslt_nvfp4
5120,5120,5120,37.727,7115.2,2084.53,2062,284,cublaslt_nvfp4
6144,6144,6144,60.3514,7685.93,1876.45,2062,286,cublaslt_nvfp4
8192,2048,8192,39.5933,6942.54,1906.83,2062,268,cublaslt_nvfp4
8192,4096,4096,38.2445,7187.39,2412.76,2062,276,cublaslt_nvfp4
8192,4096,16384,132.113,8322.51,1269.91,2062,264,cublaslt_nvfp4
8192,8192,2048,46.136,5957.99,3272.82,2062,283,cublaslt_nvfp4
8192,8192,8192,136.94,8029.12,1470.18,2062,266,cublaslt_nvfp4
8192,11008,4096,99.9453,7391.39,2197.97,2062,264,cublaslt_nvfp4
8192,16384,4096,141.758,7756.25,2248.67,2062,284,cublaslt_nvfp4
12288,12288,12288,468.192,7925.91,967.519,2062,317,cublaslt_nvfp4
16384,2048,8192,69.4627,7914.4,2052.99,2062,342,cublaslt_nvfp4
16384,4096,4096,76.5277,7183.75,2301.92,2062,362,cublaslt_nvfp4
16384,4096,16384,258.44,8508.85,1168.51,2062,242,cublaslt_nvfp4
16384,8192,2048,91.321,6020.04,3215.05,2062,295,cublaslt_nvfp4
16384,8192,8192,258.412,8509.74,1428.33,2062,245,cublaslt_nvfp4
16384,11008,4096,190.841,7741.88,2184.06,2062,292,cublaslt_nvfp4
16384,16384,4096,287.652,7644.74,2099.69,2062,275,cublaslt_nvfp4
16384,16384,16384,1181.76,7443.21,681.446,1552,365,cublaslt_nvfp4
