m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
128,2048,7168,8.912,421.689,992.747,2062,196,cublaslt_nvfp4_fp32
128,24576,1536,6.7424,1433.27,4680.17,2062,211,cublaslt_nvfp4_fp32
512,2048,7168,7.3248,2052.26,1825.22,2062,230,cublaslt_nvfp4_fp32
512,7168,2048,7.0944,2118.91,3177.77,2062,250,cublaslt_nvfp4_fp32
1024,1024,1024,4.032,532.61,1300.32,2062,269,cublaslt_nvfp4_fp32
1024,2048,8192,8.3424,4118.69,2513.85,2062,276,cublaslt_nvfp4_fp32
1024,4096,4096,9.0336,3803.55,3017.95,2062,305,cublaslt_nvfp4_fp32
1024,4096,16384,22.6624,6064.62,2591.09,2062,330,cublaslt_nvfp4_fp32
1024,7168,2048,9.1072,3301.21,4144.93,2062,370,cublaslt_nvfp4_fp32
1024,8192,2048,10.784,3186.18,3986.61,2062,397,cublaslt_nvfp4_fp32
1024,8192,8192,23.5456,5837.14,3028.3,2062,382,cublaslt_nvfp4_fp32
1024,11008,4096,20.0256,4611.19,3482.06,2062,389,cublaslt_nvfp4_fp32
1024,16384,4096,28.2528,4864.61,3637.18,2062,396,cublaslt_nvfp4_fp32
1536,1536,1536,4.3136,1680.21,2734.72,2062,433,cublaslt_nvfp4_fp32
2048,2048,2048,6.8544,2506.4,3059.57,2062,433,cublaslt_nvfp4_fp32
2048,2048,8192,13.3792,5136.29,2507.96,2062,409,cublaslt_nvfp4_fp32
2048,4096,4096,13.8656,4956.11,3327.47,2062,419,cublaslt_nvfp4_fp32
2048,4096,16384,41.6352,6602.06,2014.79,2062,412,cublaslt_nvfp4_fp32
2048,8192,2048,19.3344,3554.26,4013.29,2062,446,cublaslt_nvfp4_fp32
2048,8192,8192,45.488,6042.87,2397.38,2062,439,cublaslt_nvfp4_fp32
2048,11008,4096,35.0336,5271.61,3337.26,2062,428,cublaslt_nvfp4_fp32
2048,16384,4096,46.2752,5940.07,3716.17,2062,392,cublaslt_nvfp4_fp32
3072,3072,3072,12.4096,4672.36,3802.37,2062,440,cublaslt_nvfp4_fp32
4096,2048,8192,22.5856,6085.25,2599.9,2062,428,cublaslt_nvfp4_fp32
4096,4096,4096,25.6064,5367.37,3275.98,2062,435,cublaslt_nvfp4_fp32
4096,4096,7168,39.2416,6129.16,2458.33,2062,427,cublaslt_nvfp4_fp32
4096,4096,16384,82.976,6625.48,1617.55,2062,398,cublaslt_nvfp4_fp32
4096,8192,2048,33.28,4129.78,4411.08,2062,392,cublaslt_nvfp4_fp32
4096,8192,8192,76.9728,7142.21,2397.59,2062,361,cublaslt_nvfp4_fp32
4096,11008,4096,64.56,5721.3,3272.74,2062,380,cublaslt_nvfp4_fp32
4096,16384,4096,87.9712,6249.27,3528.18,2062,380,cublaslt_nvfp4_fp32
5120,5120,5120,44.992,5966.29,2913.23,2062,387,cublaslt_nvfp4_fp32
6144,6144,6144,68.0864,6812.76,2772.12,2062,364,cublaslt_nvfp4_fp32
8192,2048,8192,44.9856,6110.35,2424.15,2062,368,cublaslt_nvfp4_fp32
8192,4096,4096,47.5872,5776.3,3349.29,2062,414,cublaslt_nvfp4_fp32
8192,4096,16384,142.131,7735.89,1652.56,2062,376,cublaslt_nvfp4_fp32
8192,8192,2048,63.2064,4348.89,4512.4,2062,377,cublaslt_nvfp4_fp32
8192,8192,8192,151.443,7260.22,2215.64,2062,333,cublaslt_nvfp4_fp32
8192,11008,4096,121.933,6058.54,3280.76,2062,336,cublaslt_nvfp4_fp32
8192,16384,4096,168.973,6507.03,3475.13,2062,360,cublaslt_nvfp4_fp32
12288,12288,12288,483.078,7681.68,1562.84,2062,287,cublaslt_nvfp4_fp32
16384,2048,8192,77.5744,7086.82,2703.41,2062,354,cublaslt_nvfp4_fp32
16384,4096,4096,91.584,6002.75,3389,2062,400,cublaslt_nvfp4_fp32
16384,4096,16384,276.141,7963.41,1579.66,2062,276,cublaslt_nvfp4_fp32
16384,8192,2048,119.766,4590.23,4692.77,2062,305,cublaslt_nvfp4_fp32
16384,8192,8192,284.598,7726.76,2240.12,2062,278,cublaslt_nvfp4_fp32
16384,11008,4096,229.2,6446.2,3392.32,2062,301,cublaslt_nvfp4_fp32
16384,16384,4096,332.621,6611.2,3429.88,2062,296,cublaslt_nvfp4_fp32
16384,16384,16384,1030.69,8534.2,1302.21,2062,239,cublaslt_nvfp4_fp32
