m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
128,2048,7168,8.0992,464.008,1027.64,2062,204,cublaslt_nvfp4
128,24576,1536,5.472,1766.02,4616.98,2062,216,cublaslt_nvfp4
512,2048,7168,6.4704,2323.25,1742.12,2062,235,cublaslt_nvfp4
512,7168,2048,5.6704,2651.03,2681.35,2062,255,cublaslt_nvfp4
1024,1024,1024,2.9824,720.052,1054.76,2062,255,cublaslt_nvfp4
1024,2048,8192,7.4176,4632.19,2261.81,2062,278,cublaslt_nvfp4
1024,4096,4096,7.6736,4477.66,2459.65,2062,312,cublaslt_nvfp4
1024,4096,16384,20.6848,6644.44,2433.27,2062,340,cublaslt_nvfp4
1024,7168,2048,7.9168,3797.59,2913.89,2062,376,cublaslt_nvfp4
1024,8192,2048,8.3808,4099.82,3127.91,2062,405,cublaslt_nvfp4
1024,8192,8192,20.8736,6584.34,2612.2,2062,419,cublaslt_nvfp4
1024,11008,4096,16.5536,5578.35,2850.49,2062,421,cublaslt_nvfp4
1024,16384,4096,22.6688,6062.91,3052.92,2062,412,cublaslt_nvfp4
1536,1536,1536,3.5232,2057.15,2008.94,2062,412,cublaslt_nvfp4
2048,2048,2048,5.4368,3159.92,2314.4,2062,455,cublaslt_nvfp4
2048,2048,8192,12.4992,5497.91,2013.39,2062,449,cublaslt_nvfp4
2048,4096,4096,12.4864,5503.55,2351.37,2062,414,cublaslt_nvfp4
2048,4096,16384,38.6144,7118.53,1737.92,2062,406,cublaslt_nvfp4
2048,8192,2048,13.5456,5073.2,3251.25,2062,419,cublaslt_nvfp4
2048,8192,8192,40.9536,6711.94,1843.49,2062,391,cublaslt_nvfp4
2048,11008,4096,28.032,6588.31,2562.34,2062,384,cublaslt_nvfp4
2048,16384,4096,40.0768,6858.78,2616.42,2062,393,cublaslt_nvfp4
3072,3072,3072,10.6752,5431.47,2652.09,2062,444,cublaslt_nvfp4
4096,2048,8192,20.9984,6545.21,1997.44,2062,403,cublaslt_nvfp4
4096,4096,4096,21.616,6358.2,2328.44,2062,442,cublaslt_nvfp4
4096,4096,7168,35.6256,6751.27,1765.99,2062,427,cublaslt_nvfp4
4096,4096,16384,77.9392,7053.65,1291.56,2062,426,cublaslt_nvfp4
4096,8192,2048,22.3968,6136.54,3558.18,2062,390,cublaslt_nvfp4
4096,8192,8192,71.2096,7720.25,1649.22,2062,390,cublaslt_nvfp4
4096,11008,4096,54.5472,6771.51,2220.29,2062,386,cublaslt_nvfp4
4096,16384,4096,76.0064,7233.02,2317.71,2062,389,cublaslt_nvfp4
5120,5120,5120,38.3552,6998.67,2050.39,2062,402,cublaslt_nvfp4
6144,6144,6144,62.0192,7479.24,1825.99,2062,369,cublaslt_nvfp4
8192,2048,8192,40.32,6817.41,1872.46,2062,370,cublaslt_nvfp4
8192,4096,4096,39.3568,6984.25,2344.57,2062,398,cublaslt_nvfp4
8192,4096,16384,133.578,8231.26,1255.99,2062,373,cublaslt_nvfp4
8192,8192,2048,46.8896,5862.24,3220.22,2062,378,cublaslt_nvfp4
8192,8192,8192,139.59,7876.7,1442.27,2062,330,cublaslt_nvfp4
8192,11008,4096,101.206,7299.29,2170.58,2062,337,cublaslt_nvfp4
8192,16384,4096,143.866,7642.63,2215.73,2062,342,cublaslt_nvfp4
12288,12288,12288,453.206,8188,999.511,2062,288,cublaslt_nvfp4
16384,2048,8192,71.4432,7695.01,1996.08,2062,335,cublaslt_nvfp4
16384,4096,4096,77.7792,7068.16,2264.88,2062,397,cublaslt_nvfp4
16384,4096,16384,263.613,8341.87,1145.58,2062,278,cublaslt_nvfp4
16384,8192,2048,92.1632,5965.03,3185.67,2062,290,cublaslt_nvfp4
16384,8192,8192,264.88,8301.96,1393.46,2062,277,cublaslt_nvfp4
16384,11008,4096,192.262,7684.65,2167.92,2062,290,cublaslt_nvfp4
16384,16384,4096,286.518,7674.98,2108,2062,291,cublaslt_nvfp4
16384,16384,16384,1030.46,8536.08,781.501,2062,266,cublaslt_nvfp4
